"Tanggal","Nilai Ekspor Migas"
"2020-06-01","567.4"
"2020-07-01","660.4"
"2020-08-01","599.6"
"2020-09-01","667.3"
"2020-10-01","614.5"
"2020-11-01","762.2"
"2020-12-01","1018.8"
"2021-01-01","883.8"
"2021-02-01","860.6"
"2021-03-01","951.5"
"2021-04-01","941.7"
"2021-05-01","940.6"
"2021-06-01","1239.3"
"2021-07-01","978.8"
"2021-08-01","1044.6"
"2021-09-01","934.8"
"2021-10-01","1064.3"
"2021-11-01","1339.5"
"2021-12-01","1068"
"2022-01-01","903.5"
"2022-02-01","1029.6"
"2022-03-01","1493.3"
"2022-04-01","1466.6"
"2022-05-01","1498.1"
"2022-06-01","1551.8"
"2022-07-01","1287.6"
"2022-08-01","1662.9"
"2022-09-01","1259"
"2022-10-01","1286.3"
"2022-11-01","1101.9"
"2022-12-01","1457.8"
"2023-01-01","1487.9"
"2023-02-01","1186.5"
"2023-03-01","1338.2"
"2023-04-01","1258.7"
"2023-05-01","1308.6"
"2023-06-01","1259.7"
"2023-07-01","1226.8"
"2023-08-01","1318.8"
"2023-09-01","1405.1"
"2023-10-01","1370.4"
"2023-11-01","1282.9"
"2023-12-01","1479"
